MAINTENANCE_AGENCY_ID,DOMAIN_ID,NAME,IS_ENUMERATED,DESCRIPTION,DATA_TYPE,CODE,FACET_ID,IS_REFERENCE
ECB,ABSTRCT_INSTRMNT_RL_TYP,ABSTRCT_INSTRMNT_RL_TYP,True,,,,,
ECB,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,True,,,,,
ECB,ACCNTNG_CNSLDTN_LVL,ACCNTNG_CNSLDTN_LVL,True,,,,,
ECB,ACCNTNG_FRMWRK,ACCNTNG_FRMWRK,True,,,,,
ECB,ACCNTNG_HDG_INDCTR,ACCNTNG_HDG_INDCTR,True,,,,,
ECB,ACCRD_INTRST_MRKT_VL_INDCTR,ACCRD_INTRST_MRKT_VL_INDCTR,True,,,,,
ECB,APPRCH_CRDT_QLTY_STTS,APPRCH_CRDT_QLTY_STTS,True,,,,,
ECB,APPRCH_PRDNTL_PRPSS,APPRCH_PRDNTL_PRPSS,True,,,,,
ECB,ARRNGMNT_TYP,ARRNGMNT_TYP,True,,,,,
ECB,ASST_ENCMBRNC_SRC_INDCTR,ASST_ENCMBRNC_SRC_INDCTR,True,,,,,
ECB,ASST_PL_INSTRMNT_ASSGNMNT_TYP,ASST_PL_INSTRMNT_ASSGNMNT_TYP,True,,,,,
ECB,ASST_PL_TYP,ASST_PL_TYP,True,,,,,
ECB,AVLBL_ENCMBRNC,AVLBL_ENCMBRNC,True,,,,,
ECB,BLN,BLN,True,,,,,
ECB,Boolean,Boolean,False,Boolean,Boolean,,,
ECB,CLLTRL_INSTRMNT_RS_INDCTR,CLLTRL_INSTRMNT_RS_INDCTR,True,,,,,
ECB,CLLTRL_RL_TYP,CLLTRL_RL_TYP,True,,,,,
ECB,CLLTRL_RS_INDCTR,CLLTRL_RS_INDCTR,True,,,,,
ECB,CMMDTY_TYP_FRTB,CMMDTY_TYP_FRTB,True,,,,,
ECB,CMMRCL_RL_ESTT_LN_INDCTR,CMMRCL_RL_ESTT_LN_INDCTR,True,,,,,
ECB,CMPLNC_CRR_129_TYP,CMPLNC_CRR_129_TYP,True,,,,,
ECB,CNSLDTN_MTHD,CNSLDTN_MTHD,True,,,,,
ECB,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,True,,,,,
ECB,CRDT_QLTY,CRDT_QLTY,True,,,,,
ECB,CRRNCY,CRRNCY,True,,,,,
ECB,CSR_CRV_TYP,CSR_CRV_TYP,True,,,,,
ECB,CST_BSD_MTHD_LCM_INDCTR,CST_BSD_MTHD_LCM_INDCTR,True,,,,,
ECB,DMSTC_ACTVT_INDCTR,DMSTC_ACTVT_INDCTR,True,,,,,
ECB,Date,Date,False,Date,Date,,,
EBA,EBA_AP,Approach,True,Approach used for the calculation of capital requirements (or exposure value in LR),,AP,,False
EBA,EBA_AS,Accounting standard,True,The accounting standard used to prepare figures or reports,,AS,,False
EBA,EBA_ATY,Metric,True,"Details the data type (e.g. monetary, percentage, string) of the data point. In XBRL, it is the ""primary item"". Generally, it indicates the ""metrics"" of the Main category provided (i.e. answers the question: how is measured?). It should be defined for each data point. In the case of monetary values, when the data point is referred to a (change during a) period of time, the member name shall finish in ""(flow)"". When the member name has other terminations, the data point is a measurement at a date (i.e. ""stock"").",,ATY,,False
EBA,EBA_BA,Base items,True,"Defines the basic conceptual meaning of a data point. Identifies the framework in which a data point is included. For FINREP, it indicates in which group of element of the financial statement should be included the data point (e.g. assets, liabilities, equity, income, expenses). For COREP, it indicates whether the data point should be computed in the numerator (own funds) or the denominator (exposures) of the Pillar I solvency ratio. It may determine whether the data point has a ""debit"" or a ""credit"" attribute.",,BA,,False
EBA,EBA_BT,Boolean total,True,Dimensions having only two values (usually denoted true and false),,BT,,False
EBA,EBA_Boolean,Boolean,False,Boolean,,Boolean,,False
EBA,EBA_CB,Covered bond,False,Name or unambiguous abbreviation of a covered bond issuing entity and the designation of a covered bond,,CB,,False
EBA,EBA_CG,Collateral/Guarantees,True,Defines the terms and conditions of the collateral and guarantees,,CG,,False
EBA,EBA_CONS_LEVEL,Consolidation level,True,,,CONS_LEVEL,,False
EBA,EBA_CS,Contingent scenario,True,Defines the contingent scenarios whose impact is reported,,CS,,False
EBA,EBA_CT,Counterparty,True,Party other than the reporting institution in a contract or transaction.,,CT,,False
EBA,EBA_CU,Currency,True,Currency,,CU,,False
EBA,EBA_DT,Date,False,Date,,DT,,False
EBA,EBA_Date,Date,False,Date,,Date,,False
EBA,EBA_Decimal,Decimal,False,Decimal,,Decimal,,False
